Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Breaker Failure,2003,7/1/2003,3:15 PM,7/1/2003,3:50 PM,Arizona Public Service Company,"Phoenix, Arizona",WECC,"1,000","47,000",equipment failure
Public Appeal,2003,6/15/2003,3:12 PM,6/16/2003,5:00 PM,Idaho Power Company Control Area,Idaho,WECC,0,0,public appeal
Flood,2003,5/15/2003,2:00 PM,6/16/2003,2:00 PM,We Energies,Upper Michigan Peninsula,MAIN,240,2,"severe weather, flooding"
Severe Thunderstorms,2003,5/2/2003,8:00 PM,5/3/2003,8:00 AM,Southern Company,"Central Georgia, Alabama",SERC,130,"102,842 (Georgia); 12,897 (Alabama)","severe weather, thunderstorm"
Severe Thunderstorms,2003,5/2/2003,5:00 PM,5/4/2003,12:00 PM,Duke Energy Company/Duke Power Control Area,"Piedmont, North and South Carolina",SERC,"1,500","139,000","severe weather, thunderstorm"
Vandalism,2003,4/28/2003,3:41 PM,4/29/2003,12:00 PM,American Transmission Company,"County of Waukesha,  Wisconsin,  Town of Lisbon, Wisconsin",MAIN,0,0,vandalism
Ice Storm,2003,4/3/2003,7:00 PM,4/6/2003,5:00 PM,Consumers Energy,Lower Michigan Peninsula,ECAR,300,"425,000","severe weather, winter storm"
Winter Storm,2002,12/25/2002,5:00 PM,12/26/2002,5:00 AM,PPL Corporation,Eastern Pennsylvania,MAAC,250,"106,000","severe weather, winter storm"
Winter Storm,2002,12/19/2002,6:00 AM,12/21/2002,5:00 AM,Pacific Gas & Electric,Northern and Central California,WECC,56,"385,000","severe weather, winter storm"
Winter Storm,2002,12/14/2002,11:00 AM,12/19/2002,4:00 AM,Pacific Gas & Electric,Northern and Central California,WECC,180,1.5 million,"severe weather, winter storm"
Winter Storm,2002,12/11/2002,1:09 PM,12/13/2002,10:00 AM,Dominion-Virginia Power/North Carolina Power,Northern Virginia to Fredericksburg; Staunton to Harrisonburg,SERC,63,"130,000","severe weather, winter storm"
Winter Storm,2002,11/6/2002,10:00 PM,11/10/2002,12:00 PM,Pacific Gas & Electric Co.,Northern and Central California,WECC,270,"939,000","severe weather, winter storm"
Severe Weather,2002,8/28/2002,2:09 PM,8/28/2002,3:38 AM,Lakeworth Utils,Florida,SERC,67.6,"25,000",severe weather
Interruption of Firm Power,2002,8/25/2002,3:41 AM,8/25/2002,9:17 AM,Pacific Gas & Elec.,California,WECC,120,1 PG&E,load shedding
Interruption of Firm Power,2002,8/9/2002,8:23 AM,8/9/2002,12:13 PM,Lake Worth Utils,Florida,SERC,51,"25,000",load shedding
Interruption of Firm Power,2002,8/2/2002,12:43 PM,8/2/2002,6:36 AM,Central Illinois Light Co.,Illinois,MAIN,232,"53,565",load shedding
Fire,2002,7/20/2002,12:40 PM,7/20/2002,8:12 AM,Consolidated Edison Co. of New York,New York,NPCC,278,"63,500",wild fire
Interruption of Firm Power (Unit Tripped),2002,7/19/2002,11:51 AM,7/19/2002,4:30 AM,Pacific Gas & Electric,California,WECC,240,1 PG&E,generator trip
Interruption of Firm Power,2002,7/9/2002,12:27 PM,7/9/2002,7:54 AM,Pacific Gas & Electric,California,WECC,240,1 PG&E,load shedding
Severe Weather,2002,3/9/2002,12:00 AM,3/11/2002,12:00 PM,Consumers Energy Co.,Lower Peninsula of Michigan,ECAR,190,"190,000",severe weather
Interruption of Firm Load,2002,2/27/2002,10:48 AM,2/27/2002,11:35 AM,San Diego Gas & Electric,California,WECC,300,"255,000",load shedding
Ice Storm,2002,1/30/2002,6:00 AM,2/7/2002,12:00 PM,Oklahoma Gas & Electric,Oklahoma,SPP,500,"1,881,134","severe weather, winter storm"
Ice Storm,2002,1/30/2002,4:00 PM,2/10/2002,9:00 AM,Missouri Public Service,Missouri,SPP,210,"95,000","severe weather, winter storm"
Voltage Reduction,2001,8/9/2001,3:11 PM,8/9/2001,7:12:00 PM,Virginia Electric and Power Co and Dominion Virginia Power Area,Virginia,PJM,0,"600,000",voltage reduction
Firm Load Interruption,2001,6/6/2001,4:22 PM,6/6/2001,7:09:00 PM,Central Power and Light Company,Rio Grand Valley of Texas,ERCOT,350,"24,506",load shedding
Interruption of Firm Power (Public Appeal),2001,5/8/2001,3:10 PM,5/8/2001,5:30:00 PM,CA Independent System Operator,California,WECC,400,Undetermined,"load shedding, public appeal"
Interruption of Power,2001,5/8/2001,3:12 PM,5/8/2001,5:00:00 PM,Southern California Edison,California,WECC,"225, 159","70,848; 56718",unknown
Interruption of Firm Power (Public Appeal),2001,5/7/2001,4:45 PM,5/7/2001,6:00:00 PM,CA Independent System Operator,California,WECC,300,Undetermined,"load shedding, public appeal"
Severe Weather,2000,8/18/2000,6:30 PM,8/20/2000,12:00 PM,Duke Power,North Carolina,SERC,500,"130,000",severe weather
Severe Weather,2000,8/10/2000,9:30 PM,8/11/2000,6:00 PM,Alabama Power Co,Alabama,SERC,None,"75,000",severe weather
Severe Weather,2000,8/9/2000,6:30 PM,8/7/2000,11:59 PM,Cinergy Corp,Ohio,ECAR,None,"92,000",severe weather
Severe Weather,2000,8/6/2000,4:00 PM,8/7/2000,12:00:00 PM,Commonwealth Edison,Illinois,MAIN,None,"239,567",severe weather
Line Outages/Switch Fire,2000,6/28/2000,5:52 PM,6/28/2000,7:14:00 PM,Virginia Power/North Carolina Power,Virginia & North Carolina,SERC,175,"30,500","wild fire, transmission interruption"
Tripped Lines Fire,2000,6/14/2000,3:54 PM,6/14/2000,5:00:00 PM,Tucson Electric Power,Arizona,WECC,138,"40,911","wild fire, transmission interruption"
Transmission Line Loss,2000,3/18/2000,7:08 PM,3/18/2000,7:08:00 PM,Public Service of New Mexico,New Mexico,WECC,"1,040","500,000",transmission interruption
Transmission Line Loss,2000,3/18/2000,4:00 PM,3/18/2000,5:10:00 PM,El Paso Elec. Co.,Texas,MAIN,400,"100,000",transmission interruption
Ice Storm,2000,1/29/2000,10:00 PM,2/3/2000,12:00:00 PM,Duke Power Co.,South Carolina,SERC,300,"81,000","severe weather, winter storm"
